unit,time_step,operational_setting_1,operational_setting_2,operational_setting_3,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Health_state,Operational_condition
2,1,3,34.9986,0.8401,60.0,449.44,555.42,1368.17,1122.49,5.48,8.0,194.93,2222.86,8343.91,1.02,41.92,183.26,2387.95,8063.84,9.3557,0.02,334,2223,100.0,14.83,8.8555,1,4
4,1,5,42.0041,0.8405,40.0,445.0,549.52,1354.48,1124.32,3.91,5.71,138.24,2211.8,8314.56,1.02,41.79,130.44,2387.89,8083.67,9.2986,0.02,330,2212,100.0,10.99,6.4025,1,4
6,1,7,41.9998,0.84,40.0,445.0,549.57,1354.43,1131.44,3.91,5.71,139.11,2211.82,8316.88,1.02,42.09,130.16,2387.88,8082.01,9.3753,0.02,331,2212,100.0,10.53,6.4254,1,4
9,1,10,42.0066,0.84,40.0,445.0,549.83,1353.19,1125.09,3.91,5.71,138.37,2211.84,8320.04,1.02,41.91,130.32,2387.91,8085.94,9.3667,0.02,330,2212,100.0,10.75,6.4268,1,4
11,1,12,35.0029,0.8413,60.0,449.44,555.85,1360.54,1130.69,5.48,8.0,195.05,2222.88,8341.87,1.02,41.87,183.41,2387.95,8063.79,9.2878,0.02,335,2223,100.0,14.69,8.7988,1,4
12,1,13,42.0029,0.8409,40.0,445.0,549.91,1350.9,1123.53,3.91,5.71,139.09,2211.78,8321.2,1.02,42.14,130.6,2387.88,8081.77,9.349,0.02,329,2212,100.0,10.46,6.3382,1,4
20,1,21,42.003,0.8404,40.0,445.0,549.12,1349.16,1117.33,3.91,5.72,138.51,2211.82,8310.18,1.02,41.98,130.48,2387.9,8080.31,9.3488,0.02,330,2212,100.0,10.54,6.3614,1,4
23,1,24,34.9987,0.84,60.0,449.44,555.19,1359.28,1131.95,5.48,8.0,193.97,2222.88,8351.92,1.02,41.86,183.36,2387.94,8063.93,9.3254,0.02,334,2223,100.0,14.96,8.8405,2,4
24,1,25,42.0066,0.8401,40.0,445.0,549.43,1355.26,1117.68,3.91,5.71,138.33,2211.89,8309.83,1.02,42.08,130.76,2387.84,8078.42,9.3525,0.02,330,2212,100.0,10.54,6.3772,2,4
29,1,30,42.0008,0.84,40.0,445.0,549.77,1350.63,1133.09,3.91,5.72,138.4,2211.83,8318.25,1.02,42.06,129.99,2387.91,8075.85,9.3897,0.02,332,2212,100.0,10.62,6.4269,2,4
32,1,33,42.003,0.8413,40.0,445.0,548.93,1353.67,1121.32,3.91,5.71,138.59,2211.85,8309.86,1.02,42.08,130.94,2387.93,8078.78,9.3014,0.02,331,2212,100.0,10.65,6.3294,2,4
38,1,39,35.001,0.84,60.0,449.44,555.85,1370.11,1126.43,5.48,8.0,193.79,2222.88,8346.36,1.02,41.76,183.45,2387.95,8065.11,9.3512,0.02,333,2223,100.0,15.0,8.7529,2,4
40,1,41,35.0018,0.84,60.0,449.44,555.3,1359.77,1129.48,5.48,8.0,194.59,2222.89,8343.06,1.02,41.97,182.97,2387.98,8065.92,9.2991,0.02,334,2223,100.0,14.79,9.0533,2,4
41,1,42,42.0058,0.8411,40.0,445.0,549.34,1350.92,1121.13,3.91,5.71,138.8,2211.83,8312.03,1.02,42.01,130.29,2387.88,8081.73,9.4024,0.02,331,2212,100.0,10.51,6.3421,2,4
43,1,44,42.0002,0.84,40.0,445.0,549.73,1354.22,1129.58,3.91,5.72,138.64,2211.79,8312.54,1.02,42.09,130.31,2387.9,8079.16,9.3938,0.02,331,2212,100.0,10.6,6.3165,2,4
49,1,50,42.0064,0.8407,40.0,445.0,549.46,1348.73,1120.16,3.91,5.71,139.29,2211.8,8317.35,1.02,42.2,130.78,2387.88,8081.05,9.3799,0.02,330,2212,100.0,10.61,6.4017,2,4
51,1,52,41.9984,0.8419,40.0,445.0,549.58,1349.36,1124.54,3.91,5.72,138.08,2211.87,8317.61,1.02,42.02,130.09,2387.9,8081.14,9.3482,0.02,332,2212,100.0,10.79,6.3244,2,4
53,1,54,35.0053,0.84,60.0,449.44,555.76,1363.69,1129.53,5.48,8.0,194.24,2222.85,8342.46,1.02,41.71,183.13,2387.95,8066.55,9.2739,0.02,334,2223,100.0,14.81,8.9262,2,4
54,1,55,42.003,0.8413,40.0,445.0,549.08,1346.64,1127.6,3.91,5.71,138.71,2211.8,8313.48,1.02,41.98,130.84,2387.88,8076.11,9.3383,0.02,329,2212,100.0,10.65,6.4609,2,4
55,1,56,42.0005,0.84,40.0,445.0,549.16,1358.49,1123.48,3.91,5.71,138.8,2211.81,8314.98,1.02,42.09,130.33,2387.86,8083.94,9.3664,0.02,331,2212,100.0,10.52,6.4191,2,4
57,1,58,35.0014,0.84,60.0,449.44,555.55,1366.71,1128.3,5.48,8.0,194.54,2222.89,8349.03,1.02,42.03,183.47,2388.02,8065.15,9.2953,0.02,334,2223,100.0,14.67,8.9319,2,4
62,1,63,42.0043,0.84,40.0,445.0,549.5,1352.27,1126.3,3.91,5.71,138.44,2211.85,8317.64,1.02,42.15,130.93,2387.87,8078.59,9.3442,0.02,331,2212,100.0,10.58,6.4123,2,4
65,1,66,42.004,0.84,40.0,445.0,549.31,1349.87,1128.93,3.91,5.72,138.33,2211.78,8315.56,1.02,42.02,130.63,2387.89,8080.91,9.3698,0.02,331,2212,100.0,10.6,6.4504,2,4
67,1,68,42.0005,0.8415,40.0,445.0,549.25,1352.08,1121.09,3.91,5.72,139.03,2211.88,8315.94,1.02,42.02,131.11,2387.91,8078.0,9.3809,0.02,330,2212,100.0,10.69,6.3684,2,4
68,1,69,42.0011,0.84,40.0,445.0,549.72,1348.82,1125.46,3.91,5.71,138.47,2211.82,8310.88,1.02,41.97,130.37,2387.9,8080.0,9.3532,0.02,330,2212,100.0,10.7,6.3223,2,4
70,1,71,35.0076,0.84,60.0,449.44,555.99,1359.31,1130.7,5.48,8.0,194.99,2222.81,8349.16,1.02,41.88,182.68,2387.94,8061.97,9.3437,0.02,333,2223,100.0,14.71,8.954,2,4
71,1,72,42.006,0.8403,40.0,445.0,549.93,1351.67,1126.2,3.91,5.71,139.07,2211.82,8317.14,1.02,42.09,130.8,2387.87,8078.7,9.3829,0.02,331,2212,100.0,10.48,6.434,2,4
72,1,73,41.998,0.84,40.0,445.0,549.14,1351.31,1120.2,3.91,5.71,138.08,2211.8,8321.28,1.02,42.19,130.45,2387.9,8075.93,9.3651,0.02,329,2212,100.0,10.67,6.3873,2,4
73,1,74,35.0054,0.84,60.0,449.44,555.13,1360.96,1127.22,5.48,8.0,194.38,2222.87,8340.55,1.02,42.06,182.92,2387.93,8062.64,9.2947,0.02,335,2223,100.0,14.68,8.7432,3,4
76,1,77,35.0055,0.8406,60.0,449.44,555.89,1366.31,1128.67,5.48,8.0,195.01,2222.82,8344.84,1.02,41.93,182.86,2387.91,8062.76,9.3346,0.02,334,2223,100.0,14.9,8.9268,3,4
77,1,78,35.0024,0.8412,60.0,449.44,555.12,1365.46,1121.76,5.48,8.0,194.53,2222.85,8347.66,1.02,41.95,182.99,2387.98,8064.41,9.3172,0.02,334,2223,100.0,15.15,8.9178,3,4
78,1,79,41.9996,0.8415,40.0,445.0,549.51,1353.91,1117.26,3.91,5.72,138.64,2211.82,8320.6,1.02,42.02,130.33,2387.85,8079.09,9.3676,0.02,330,2212,100.0,10.63,6.396,3,4
79,1,80,42.0029,0.8413,40.0,445.0,549.91,1361.86,1126.25,3.91,5.72,138.44,2211.82,8314.04,1.02,42.19,130.49,2387.84,8075.12,9.3719,0.02,331,2212,100.0,10.68,6.3753,3,4
80,1,81,35.0014,0.8401,60.0,449.44,555.67,1366.7,1130.51,5.48,8.0,194.94,2222.88,8340.51,1.02,41.88,183.17,2387.93,8060.81,9.3501,0.02,333,2223,100.0,14.93,8.9352,3,4
81,1,82,35.0008,0.8416,60.0,449.44,555.58,1361.55,1130.46,5.48,8.0,194.51,2222.84,8348.36,1.02,41.98,182.76,2388.0,8065.79,9.3672,0.02,334,2223,100.0,14.84,8.8712,3,4
83,1,84,42.0025,0.8403,40.0,445.0,549.78,1350.97,1129.54,3.91,5.71,138.97,2211.81,8316.64,1.02,41.95,130.65,2387.86,8075.87,9.3661,0.02,331,2212,100.0,10.58,6.3571,3,4
84,1,85,35.0049,0.84,60.0,449.44,556.1,1364.31,1129.86,5.48,8.0,194.23,2222.87,8350.52,1.02,41.7,182.7,2387.96,8059.64,9.3473,0.02,334,2223,100.0,14.93,8.9296,3,4
85,1,86,35.0043,0.84,60.0,449.44,555.71,1365.64,1130.92,5.48,8.0,194.29,2222.85,8350.21,1.02,41.87,182.67,2388.01,8061.58,9.3267,0.02,334,2223,100.0,14.68,8.9153,3,4
87,1,88,41.9995,0.84,40.0,445.0,550.04,1348.0,1130.76,3.91,5.72,139.33,2211.77,8316.13,1.02,41.94,130.26,2387.9,8080.4,9.376,0.02,331,2212,100.0,10.62,6.3453,3,4
90,1,91,42.0035,0.841,40.0,445.0,549.72,1350.14,1122.78,3.91,5.72,138.72,2211.78,8319.5,1.02,42.22,130.56,2387.87,8078.45,9.3715,0.02,332,2212,100.0,10.62,6.3889,3,4
95,1,96,42.0041,0.84,40.0,445.0,549.62,1355.53,1135.24,3.91,5.72,139.07,2211.83,8316.96,1.02,42.06,130.31,2387.84,8079.41,9.3488,0.02,330,2212,100.0,10.57,6.3318,3,4
97,1,98,35.006,0.8416,60.0,449.44,556.15,1357.78,1130.59,5.48,8.0,193.99,2222.88,8347.97,1.02,41.89,183.06,2387.98,8066.59,9.3234,0.02,334,2223,100.0,14.76,8.8897,3,4
103,1,104,42.0075,0.8401,40.0,445.0,549.19,1360.0,1128.57,3.91,5.72,139.03,2211.83,8319.43,1.02,42.2,130.56,2387.88,8087.5,9.373,0.02,330,2212,100.0,10.54,6.3446,3,4
106,1,107,42.0009,0.8412,40.0,445.0,550.09,1355.99,1128.91,3.91,5.72,139.04,2211.84,8316.56,1.02,42.02,130.68,2387.91,8080.49,9.371,0.02,330,2212,100.0,10.46,6.2805,3,4
107,1,108,42.0066,0.84,40.0,445.0,549.62,1357.86,1131.56,3.91,5.71,139.37,2211.82,8311.7,1.02,42.13,130.19,2387.9,8082.96,9.3786,0.02,330,2212,100.0,10.57,6.2698,3,4
111,1,112,42.0067,0.841,40.0,445.0,549.58,1354.55,1130.8,3.91,5.72,138.47,2211.84,8322.28,1.02,42.19,130.31,2387.9,8079.42,9.3916,0.02,331,2212,100.0,10.52,6.2911,3,4
116,1,117,42.0011,0.8411,40.0,445.0,549.4,1359.1,1125.33,3.91,5.71,138.25,2211.82,8322.19,1.02,42.19,130.48,2387.85,8084.55,9.3907,0.02,333,2212,100.0,10.6,6.3924,3,4
119,1,120,42.0042,0.84,40.0,445.0,549.54,1359.63,1135.55,3.91,5.71,138.66,2211.88,8322.68,1.02,42.09,130.89,2387.89,8078.75,9.3858,0.02,331,2212,100.0,10.52,6.2681,3,4
126,1,127,42.0018,0.8405,40.0,445.0,549.54,1355.51,1132.24,3.91,5.72,138.03,2211.8,8322.45,1.02,42.24,131.08,2387.83,8084.16,9.3919,0.02,331,2212,100.0,10.44,6.2461,3,4
127,1,128,35.0033,0.84,60.0,449.44,555.24,1369.75,1136.98,5.48,8.0,193.75,2222.91,8351.3,1.02,41.87,183.19,2387.94,8064.23,9.3102,0.02,334,2223,100.0,14.88,8.9482,3,4
130,1,131,35.0025,0.84,60.0,449.44,556.0,1361.84,1131.65,5.48,8.0,194.72,2222.91,8339.95,1.02,41.93,182.58,2387.99,8066.73,9.319,0.02,335,2223,100.0,14.76,8.9551,3,4
132,1,133,34.9989,0.8418,60.0,449.44,555.78,1367.83,1135.42,5.48,8.0,194.39,2222.83,8345.42,1.02,41.96,183.24,2387.97,8063.5,9.3372,0.02,334,2223,100.0,14.76,8.8756,3,4
134,1,135,35.0046,0.84,60.0,449.44,555.8,1370.59,1131.17,5.48,8.0,194.09,2222.94,8350.86,1.02,41.91,183.38,2388.0,8064.64,9.298,0.02,334,2223,100.0,14.69,8.8798,3,4
138,1,139,42.0022,0.8411,40.0,445.0,549.37,1351.65,1129.5,3.91,5.72,138.49,2211.83,8317.54,1.02,42.34,130.11,2387.93,8080.55,9.367,0.02,332,2212,100.0,10.52,6.327,3,4
140,1,141,35.0078,0.84,60.0,449.44,555.81,1370.51,1127.32,5.48,8.0,194.2,2222.89,8346.21,1.02,42.11,183.02,2387.98,8063.02,9.3262,0.02,334,2223,100.0,14.88,8.8536,3,4
142,1,143,42.0004,0.84,40.0,445.0,549.8,1353.69,1128.82,3.91,5.72,138.42,2211.85,8330.44,1.02,42.25,130.19,2387.86,8083.88,9.4302,0.02,332,2212,100.0,10.64,6.314,3,4
145,1,146,35.0034,0.84,60.0,449.44,555.71,1365.58,1138.05,5.48,8.0,194.24,2222.93,8345.39,1.02,41.91,182.13,2388.04,8064.93,9.3348,0.02,335,2223,100.0,14.9,8.7733,3,4
147,1,148,41.9999,0.84,40.0,445.0,550.17,1358.65,1128.87,3.91,5.71,139.27,2211.8,8321.14,1.02,42.35,130.4,2387.91,8075.31,9.3686,0.02,331,2212,100.0,10.61,6.3647,3,4
151,1,152,41.9986,0.84,40.0,445.0,549.79,1351.37,1125.42,3.91,5.72,138.43,2211.8,8319.76,1.02,42.19,130.9,2387.92,8082.73,9.3931,0.02,332,2212,100.0,10.46,6.2783,3,4
152,1,153,35.0065,0.84,60.0,449.44,556.05,1363.63,1138.17,5.48,8.0,194.03,2222.93,8352.96,1.02,42.13,183.3,2388.08,8068.12,9.3839,0.02,334,2223,100.0,14.8,8.9636,3,4
154,1,155,34.9982,0.8401,60.0,449.44,556.26,1365.16,1136.06,5.48,8.0,193.57,2222.96,8351.11,1.02,42.03,183.01,2388.08,8069.03,9.3283,0.02,336,2223,100.0,14.82,8.902,3,4
161,1,162,35.0016,0.8404,60.0,449.44,556.12,1367.24,1133.3,5.48,8.0,194.26,2222.87,8348.38,1.02,42.12,182.75,2388.02,8066.06,9.3355,0.02,334,2223,100.0,14.66,8.8882,3,4
163,1,164,42.0057,0.84,40.0,445.0,549.75,1364.87,1133.44,3.91,5.72,138.22,2211.79,8325.05,1.02,42.26,130.23,2387.93,8088.94,9.4017,0.02,330,2212,100.0,10.43,6.3403,3,4
164,1,165,41.998,0.84,40.0,445.0,550.02,1357.63,1131.12,3.91,5.72,138.0,2211.89,8317.5,1.02,42.39,130.25,2387.91,8084.24,9.3848,0.02,330,2212,100.0,10.57,6.3251,3,4
166,1,167,42.0072,0.841,40.0,445.0,550.2,1357.67,1133.51,3.91,5.72,139.2,2211.8,8318.31,1.02,42.36,130.18,2387.86,8074.17,9.4363,0.02,332,2212,100.0,10.54,6.3072,3,4
168,1,169,42.0023,0.84,40.0,445.0,549.46,1363.42,1132.01,3.91,5.72,138.62,2211.84,8323.68,1.02,42.3,130.62,2387.89,8081.19,9.3815,0.02,332,2212,100.0,10.71,6.3121,3,4
170,1,171,35.0025,0.8404,60.0,449.44,556.44,1367.39,1139.02,5.48,8.0,194.24,2222.98,8352.34,1.02,42.11,182.84,2388.02,8063.07,9.3569,0.02,335,2223,100.0,14.84,8.7926,3,4
171,1,172,35.0012,0.84,60.0,449.44,555.82,1365.93,1127.04,5.48,8.0,194.25,2222.95,8352.06,1.02,42.19,182.64,2388.07,8073.59,9.3626,0.02,335,2223,100.0,14.65,9.0318,3,4
175,1,176,42.0018,0.8415,40.0,445.0,550.14,1358.06,1142.11,3.91,5.72,138.15,2211.83,8313.98,1.02,42.2,131.05,2387.89,8087.11,9.3897,0.02,331,2212,100.0,10.63,6.3042,4,4
179,1,180,41.9983,0.8414,40.0,445.0,549.77,1350.92,1133.1,3.91,5.72,138.13,2211.81,8321.75,1.02,42.25,130.7,2387.86,8082.32,9.4077,0.02,332,2212,100.0,10.51,6.4109,4,4
180,1,181,42.0077,0.84,40.0,445.0,550.64,1357.24,1134.57,3.91,5.72,138.15,2211.8,8319.99,1.02,42.35,129.91,2387.9,8083.16,9.3918,0.02,332,2212,100.0,10.46,6.3275,4,4
181,1,182,41.9983,0.84,40.0,445.0,549.92,1358.92,1138.25,3.91,5.72,138.97,2211.85,8324.29,1.02,42.41,130.17,2387.92,8081.47,9.4155,0.02,331,2212,100.0,10.51,6.43,4,4
182,1,183,42.0079,0.84,40.0,445.0,550.02,1351.34,1133.23,3.91,5.72,137.91,2211.88,8326.62,1.02,42.35,130.53,2387.92,8087.8,9.3787,0.02,332,2212,100.0,10.64,6.2548,4,4
183,1,184,42.0011,0.84,40.0,445.0,549.71,1361.22,1134.41,3.91,5.72,138.93,2211.8,8325.31,1.02,42.37,129.24,2387.9,8081.02,9.411,0.02,335,2212,100.0,10.6,6.329,4,4
186,1,187,42.0052,0.8404,40.0,445.0,550.13,1354.6,1130.36,3.91,5.72,137.8,2211.81,8321.67,1.02,42.18,129.81,2387.83,8080.17,9.4117,0.02,330,2212,100.0,10.57,6.3274,4,4
189,1,190,42.0075,0.842,40.0,445.0,549.91,1368.65,1140.05,3.91,5.72,138.14,2211.83,8325.75,1.02,42.49,130.19,2387.85,8087.26,9.4469,0.02,332,2212,100.0,10.26,6.2701,4,4
